ORIG_FID,VisSpp1,VisCov1,VisSpp2,VisCov2,VisSpp3,VisCov3,VisSpp4,VisCov4,VisSpp5,VisCov5,CovDry,CovWat,CovEpiAlg,PatLen,PatWid,Location,PositionIn,Preassigned,MatDensity,DepToSAV,Secchi,ScAtBot,Date,Time,Latitude,Longitude,Comments
166,Egeria,0.9,,,,,,,,,,,,L (10-15m),L (10-15m),center,,Yes,,2,4,No,20070612,03:50:59pm,38.04047543,-121.4384236,
167,Algae,0.5,Egeria,0.3,,,,,,,,,,XL (>15m),L (10-15m),center,,Yes,,1,5,No,20070612,03:59:33pm,38.03968482,-121.4395549,
168,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,4,No,20070612,10:47:33am,38.03096693,-121.4982164,
169,Curlyleaf,0.1,,,,,,,,,,0.7,,S (3-5m),S (3-5m),center,,Yes,,0,1,Yes,20070612,11:25:05am,38.040715,-121.4984463,
170,Sago,0.5,,,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,No,,0,4,No,20070612,11:32:30am,38.04110714,-121.4974358,
171,Am_Pondweed,0.5,Watermilfoil,0.3,,,,,,,,0.1,,S (3-5m),S (3-5m),side,,Yes,,0,2,Yes,20070612,11:37:53am,38.0396243,-121.4945032,two sets oh photos for this point (w/foot in btwn)
172,Am_Pondweed,0.5,Watermilfoil,0.1,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,Yes,,0,2,No,20070612,11:42:47am,38.03925381,-121.493794,
173,Am_Pondweed,0.5,Mixed,0.1,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,Yes,,0,2,No,20070612,11:45:40am,38.03911651,-121.4936037,
174,Am_Pondweed,0.1,Watermilfoil,0.1,,,,,,,,0.5,,S (3-5m),S (3-5m),center,,Yes,,0,2,No,20070612,11:50:21am,38.03860125,-121.4928883,
175,Egeria,0.1,,,,,,,,,,0.7,,L (10-15m),L (10-15m),,,Yes,,,6,No,20070612,03:39:29pm,38.03980717,-121.4381321,
176,Egeria,0.7,Cabomba,0.1,,,,,,,,,,S (3-5m),M (5-10m),center,,Yes,,0,5,No,20070612,11:01:07am,38.03371116,-121.4946065,
177,Egeria,0.9,,,,,,,,,,,,M (5-10m),XL (>15m),side,,No,,0,6,No,20070612,11:19:02am,38.03415534,-121.4929777,
178,Egeria,0.7,Cabomba,0.1,,,,,,,,,,S (3-5m),L (10-15m),center,,Yes,,0,3,No,20070612,11:30:38am,38.03388355,-121.4918125,
179,Egeria,0.9,,,,,,,,,,,,S (3-5m),L (10-15m),center,,Yes,,0,2,Yes,20070612,11:39:19am,38.03531375,-121.4916733,
180,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,5,Yes,20070614,12:41:59pm,38.03506669,-121.4720396,no alg here
181,Egeria,0.9,,,,,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,0,6,No,20070612,10:31:23am,38.0342576,-121.4937655,
182,Am_Pondweed,0.3,Curlyleaf,0.3,Watermilfoil,0.1,,,,,,0.3,,M (5-10m),M (5-10m),center,,Yes,,0,3,Yes,20070612,11:52:42am,38.0376464,-121.4920988,
183,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),side,,No,,0,1,Yes,20070614,12:11:24pm,38.03259356,-121.4723494,
184,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,3,Yes,20070614,12:25:48pm,38.03408172,-121.4708431,alg on top
185,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,4,Yes,20070614,12:31:11pm,38.0343854,-121.4700418,
186,Egeria,0.7,Algae,0.1,,,,,,,,,,M (5-10m),S (3-5m),range finder,,Yes,,1,4,No,20070612,08:53:50am,38.02308508,-121.5155028,
187,Egeria,0.7,Watermilfoil,0.1,Tule,0.1,,,,,,,,M (5-10m),M (5-10m),range finder,,No,,1,3,Yes,20070612,09:02:29am,38.0228092,-121.5144489,
188,Egeria,0.7,Algae,0.1,Tule,0.1,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3,Yes,20070612,09:09:50am,38.02316465,-121.5128924,
189,Egeria,0.7,Algae,0.1,Cabomba,0.01,,,,,,,,M (5-10m),M (5-10m),center,,No,,2,4,No,20070612,09:17:27am,38.02430327,-121.510188,"sparse cabomba also present , between tule patches"
190,Egeria,0.7,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,5,No,20070612,09:22:59am,38.02515128,-121.5083196,
191,Egeria,0.7,Tule,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,5,No,20070612,09:37:38am,38.0261139,-121.507659,
192,Egeria,0.5,Algae,0.5,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,4,No,20070612,09:52:23am,38.02725063,-121.5050624,
193,Egeria,0.7,Cabomba,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,Yes,,0,4,No,20070612,10:05:06am,38.02817416,-121.4997778,
194,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,1,5,No,20070612,10:32:41am,38.02916712,-121.4992684,"we got stuck! Go leslie, erin, & cpt jon! mixed sav < 10%"
195,Watermilfoil,0.3,Egeria,0.3,Tule,0.1,Sago,0.01,,,,,,S (3-5m),S (3-5m),center,,Yes,,1,4,Yes,20070612,08:45:30am,38.02242853,-121.515347,ssgo pondweed also present
196,Egeria,0.5,Watermilfoil,0.3,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,2,5,No,20070612,09:44:31am,38.02629639,-121.5071953,
197,Egeria,0.5,Mixed,0.5,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,1,4,No,20070612,10:41:27am,38.02992865,-121.4993337,
198,Egeria,0.7,Coontail,0.1,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,0,3,Yes,20070612,09:56:20am,38.02920932,-121.4951599,
199,Egeria,0.5,Algae,0.5,,,,,,,,,,L (10-15m),M (5-10m),side,,No,,0,6,No,20070612,09:16:41am,38.02515669,-121.5081401,
200,Egeria,0.7,,,,,,,,,,0.1,,L (10-15m),S (3-5m),center,,No,,1,2.5,No,20070628,12:44:33pm,38.01082106,-121.5708327,
201,Egeria,0.7,Coontail,0.1,,,,,,,,0.1,,XL (>15m),M (5-10m),range finder,,No,,0,2.5,No,20070628,12:56:34pm,38.01493874,-121.5592278,
202,Egeria,0.7,Algae,0.1,,,,,,,,0.1,,XL (>15m),M (5-10m),center,,No,,0,2.75,No,20070628,01:17:08pm,38.01137966,-121.5542172,
203,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,2.75,No,20070628,01:33:58pm,38.007306,-121.5439887,
204,Egeria,0.7,,,,,,,,,,0.1,,XL (>15m),M (5-10m),range finder,,No,,1,4,No,20070628,01:38:33pm,38.0069249,-121.5410046,
205,Egeria,0.5,Watermilfoil,0.1,,,,,,,,0.1,,XL (>15m),M (5-10m),center,,Yes,,0,3,Yes,20070627,02:09:51pm,38.00789995,-121.510179,
207,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,3.5,No,20070627,02:31:45pm,38.00996659,-121.5123714,
208,Egeria,0.7,Algae,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,Yes,,0,3,No,20070627,02:52:44pm,38.00938303,-121.513958,
209,Watermilfoil,0.7,,,,,,,,,,0.1,,M (5-10m),M (5-10m),center,,Yes,,0,1,No,20070627,02:28:40pm,38.00960628,-121.5115537,
210,Algae,0.7,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,Yes,,0,3.5,No,20070627,02:36:04pm,38.00967431,-121.512333,
211,Watermilfoil,0.7,Algae,0.7,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,Yes,,0,2.75,Yes,20070627,02:56:48pm,38.00884251,-121.5141038,
212,Watermilfoil,0.7,Algae,0.7,,,,,,,,0.3,,L (10-15m),S (3-5m),center,,Yes,,0,2.25,No,20070627,03:07:48pm,38.00937332,-121.5152465,
213,Watermilfoil,0.7,Algae,0.7,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,Yes,,0,3.75,No,20070627,03:09:58pm,38.00883802,-121.51507,
214,Watermilfoil,0.1,,,,,,,,,,0.09,,XL (>15m),XL (>15m),center,,Yes,,,2.75,Yes,20070627,02:24:46pm,38.00888944,-121.5115486,
215,Egeria,0.1,,,,,,,,,,0.7,,XL (>15m),XL (>15m),center,,Yes,,,3.5,No,20070627,02:45:57pm,38.00936805,-121.5133105,
217,Algae,0.1,,,,,,,,,,0.09,,XL (>15m),XL (>15m),center,,Yes,,,1.25,Yes,20070627,03:05:40pm,38.00890798,-121.5147618,
218,Egeria,0.5,Curlyleaf,0.1,Coontail,0.1,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,2.5,No,20070614,11:10:50am,38.00959904,-121.4460055,
219,Egeria,0.5,Curlyleaf,0.1,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0.25,1.5,Yes,20070614,11:16:07am,38.00960966,-121.4430618,
220,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,2,No,20070614,11:27:33am,38.00828215,-121.4418963,
221,Egeria,0.7,Cabomba,0.1,,,,,,,,,,XL (>15m),XL (>15m),side,,No,,0,3,No,20070614,11:34:13am,38.00555715,-121.4438887,
222,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,2.5,No,20070614,10:51:18am,38.01147678,-121.452554,
223,Watermilfoil,0.9,Cabomba,0.01,Coontail,0.01,Egeria,0.01,,,,,,L (10-15m),L (10-15m),center,,No,,0,2.5,No,20070614,10:56:04am,38.01013335,-121.4518061,"cab, milfoil, coon, eg"
224,Watermilfoil,0.9,Cabomba,0.01,Coontail,0.01,Egeria,0.01,,,,,,L (10-15m),M (5-10m),center,,No,,0,2.5,No,20070614,11:02:11am,38.00922722,-121.4491917,"cab, milfoil, coon, eg"
225,Watermilfoil,0.5,Coontail,0.1,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,No,,0,1,No,20070614,11:04:56am,38.00914821,-121.4480893,
226,Curlyleaf,0.5,Coontail,0.1,,,,,,,,,,L (10-15m),L (10-15m),center,,No,,0,1,Yes,20070614,11:08:23am,38.00889438,-121.4474046,
227,Curlyleaf,0.7,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,No,,0,2,Yes,20070614,11:18:10am,38.00934856,-121.4431844,
228,Coontail,0.5,,,,,,,,,,0.3,,L (10-15m),M (5-10m),center,,No,,0.5,1.5,No,20070614,08:29:26am,38.01053742,-121.3863316,no photo
229,Coontail,0.3,Egeria,0.3,,,,,,,,0.3,,L (10-15m),L (10-15m),center,,No,,0.5,1.75,No,20070614,08:36:04am,38.00984613,-121.3874745,
230,Watermilfoil,0.5,,,,,,,,,,0.3,,XL (>15m),L (10-15m),side,,No,,0.5,2,No,20070614,08:50:01am,38.00867809,-121.390312,
231,Watermilfoil,0.7,Egeria,0.1,Coontail,0.1,,,,,,,,XL (>15m),L (10-15m),side,,No,,0.5,2,No,20070614,08:54:19am,38.00810574,-121.3908194,
232,Coontail,0.7,,,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,No,,0.25,2,No,20070614,08:59:52am,38.00702587,-121.3913839,
233,Coontail,0.7,,,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,No,,0.5,1.75,No,20070614,09:03:42am,38.00600654,-121.393343,
234,Coontail,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,1.75,No,20070614,09:13:24am,38.00410266,-121.3968686,
235,Coontail,0.7,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,No,,0.5,1.75,No,20070614,09:16:53am,38.00371428,-121.3979648,
236,Egeria,0.7,Coontail,0.1,,,,,,,,,,M (5-10m),S (3-5m),side,,No,,0,2,Yes,20070613,10:55:38am,38.00543446,-121.3942831,
237,Egeria,0.9,Coontail,0.01,,,,,,,,0.1,,XL (>15m),M (5-10m),side,,No,,0,1,Yes,20070613,11:32:31am,38.00838852,-121.3905099,small coontail present
238,Egeria,0.7,Coontail,0.1,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,1,Yes,20070613,11:39:33am,38.00876657,-121.3898044,
239,Egeria,0.7,Mixed,0.1,,,,,,,,,,XL (>15m),XL (>15m),side,,No,,0,2,Yes,20070613,11:45:10am,38.00917834,-121.389918,
240,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,2,Yes,20070613,11:49:13am,38.00923008,-121.3883087,
241,Egeria,0.7,Cabomba,0.1,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,2,Yes,20070613,11:59:38am,38.00990545,-121.3873108,
242,Egeria,0.7,Mixed,0.1,,,,,,,,,,L (10-15m),S (3-5m),center,,No,,80,1,Yes,20070614,11:46:13am,38.00951152,-121.4466944,
243,Watermilfoil,0.7,,,,,,,,,,0.3,,M (5-10m),S (3-5m),,,No,,0,1,Yes,20070613,09:46:58am,38.00796149,-121.3931643,
244,Sago,0.7,Watermilfoil,0.1,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,No,,0,3,Yes,20070613,10:12:03am,38.0070204,-121.3962204,
245,Curlyleaf,0.7,Watermilfoil,0.1,,,,,,,,0.3,,S (3-5m),S (3-5m),side,,No,,0,3,Yes,20070613,10:18:50am,38.00592414,-121.3977485,
246,Watermilfoil,0.7,,,,,,,,,,0.3,,L (10-15m),S (3-5m),side,,No,,0,2,No,20070613,10:24:26am,38.00578186,-121.3972178,
247,Watermilfoil,0.7,Coontail,0.1,Cabomba,0.1,,,,,,,,S (3-5m),S (3-5m),side,,No,,0,1,Yes,20070613,10:33:30am,38.00508405,-121.3963424,
248,Cabomba,0.7,Algae,0.3,,,,,,,,,,S (3-5m),S (3-5m),side,,No,,0,1,Yes,20070613,10:40:55am,38.00510246,-121.3952706,
249,Watermilfoil,0.7,Egeria,0.1,Coontail,0.1,,,,,,,,L (10-15m),M (5-10m),side,,No,,0,2,Yes,20070613,10:49:30am,38.00533079,-121.3949272,
250,Coontail,0.7,Egeria,0.3,,,,,,,,,,L (10-15m),S (3-5m),side,,No,,0,1,Yes,20070613,11:03:43am,38.00569328,-121.3936054,
251,Cabomba,0.7,Watermilfoil,0.7,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,1,Yes,20070613,11:10:37am,38.00606889,-121.3931478,
252,Cabomba,0.9,Watermilfoil,0.3,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,0,No,20070613,11:17:08am,38.00614857,-121.3924595,
253,Cabomba,0.9,Egeria,0.1,,,,,,,,,,L (10-15m),M (5-10m),side,,No,,0,1,Yes,20070613,11:26:53am,38.00805902,-121.3907348,
254,Watermilfoil,0.7,,,,,,,,,,0.3,,M (5-10m),L (10-15m),side,,No,,0,2,Yes,20070613,01:42:37pm,38.00485589,-121.4015445,
255,Am_Pondweed,0.7,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,No,,0,3,No,20070614,10:55:44am,38.00632469,-121.452055,
256,Watermilfoil,0.5,Egeria,0.1,,,,,,,,,,M (5-10m),M (5-10m),center,,No,,0,5,No,20070614,11:10:47am,38.01307634,-121.4559939,
257,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2,No,20070614,11:37:05am,38.01014125,-121.4498187,
258,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,2,No,20070628,12:36:51pm,38.00503672,-121.5778145,
259,Egeria,0.5,Coontail,0.5,,,,,,,,0.5,,L (10-15m),S (3-5m),range finder,,No,,1,2.25,Yes,20070628,10:11:59am,37.99820596,-121.5260127,
260,Egeria,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3.5,No,20070627,08:47:12am,37.99903133,-121.4515221,
261,Egeria,0.9,Water Primrose,0.1,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,3.75,Yes,20070627,08:55:14am,37.99748408,-121.4516937,
262,Egeria,0.9,Curlyleaf,0.1,Cabomba,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,2.5,Yes,20070627,09:10:00am,37.99412348,-121.4510954,
263,Egeria,0.7,,,,,,,,,,0.3,,XL (>15m),L (10-15m),center,,Yes,,0,2.25,Yes,20070627,01:33:03pm,37.99554646,-121.5099878,
264,Egeria,0.9,Curlyleaf,0.1,,,,,,,,,,XL (>15m),L (10-15m),center,,Yes,,0,4.75,Yes,20070627,01:35:48pm,37.99596272,-121.5106223,
265,Egeria,0.7,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,Yes,,0,1.75,Yes,20070627,01:42:20pm,37.99752408,-121.5106692,
266,Curlyleaf,0.5,Watermilfoil,0.3,Algae,0.7,,,,,,0.1,,XL (>15m),M (5-10m),range finder,,No,,0,1.75,Yes,20070627,08:53:18am,37.99752556,-121.4515003,
267,Curlyleaf,0.9,Egeria,0.1,,,,,,,,0.1,,L (10-15m),M (5-10m),center,,No,,0,1.75,Yes,20070627,09:01:47am,37.99662452,-121.451884,
268,Watermilfoil,0.7,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,Yes,,0,3,Yes,20070627,01:39:52pm,37.99767006,-121.5108185,
269,Curlyleaf,0.7,,,,,,,,,,0.3,,L (10-15m),S (3-5m),center,,Yes,,0,4.5,No,20070627,01:45:19pm,37.99836514,-121.5106708,
270,Curlyleaf,0.7,,,,,,,,,,0.3,,M (5-10m),S (3-5m),range finder,,Yes,,0,4,Yes,20070627,02:00:25pm,37.99708339,-121.5087116,
271,Egeria,0.5,Mixed,0.1,,,,,,,,,,L (10-15m),L (10-15m),center,,No,,0.25,1.75,No,20070614,10:24:20am,37.99801803,-121.4280549,
272,Watermilfoil,0.5,,,,,,,,,,0.3,,M (5-10m),M (5-10m),center,,No,,0.5,1.5,No,20070614,10:08:07am,37.99722986,-121.4237909,
273,Egeria,0.7,,,,,,,,,,0.3,,XL (>15m),S (3-5m),center,,No,,0.25,1.75,No,20070614,10:13:14am,37.99821255,-121.4238275,
274,Coontail,0.5,,,,,,,,,,0.5,,L (10-15m),M (5-10m),side,,No,,0,3,Yes,20070614,08:44:04am,38.00212997,-121.4023858,
275,Coontail,0.5,,,,,,,,,,0.5,,L (10-15m),M (5-10m),side,,No,,0,2,Yes,20070614,09:09:26am,38.00334097,-121.4012305,along bank
276,Coontail,0.5,,,,,,,,,,0.5,,XL (>15m),XL (>15m),center,,No,,0,3,No,20070614,09:14:18am,38.0030805,-121.4000769,
277,Watermilfoil,0.5,,,,,,,,,,0.5,,M (5-10m),M (5-10m),center,,No,,0,3,No,20070614,09:51:02am,37.99660368,-121.4283001,
278,Watermilfoil,0.5,,,,,,,,,,0.5,,XL (>15m),L (10-15m),center,,No,,0,2,No,20070614,09:56:06am,37.99691469,-121.4287379,
279,Watermilfoil,0.7,,,,,,,,,,0.5,,XL (>15m),L (10-15m),center,,No,,0,2,Yes,20070614,10:16:46am,37.99854038,-121.4258353,
280,Egeria,0.7,,,,,,,,,,0.5,,L (10-15m),L (10-15m),center,,No,,0,2,Yes,20070614,10:20:23am,37.9985405,-121.4271491,
281,Sago,0.5,Watermilfoil,0.1,,,,,,,,0.3,,L (10-15m),S (3-5m),center,,No,,0,2,No,20070614,10:36:27am,38.0008875,-121.4481326,tule bhnd
282,Sago,0.5,Am_Pondweed,0.1,,,,,,,,0.3,,M (5-10m),S (3-5m),center,,No,,0,2,Yes,20070614,10:42:27am,38.00377608,-121.4503586,tule bhnd.
283,Egeria,0.7,Watermilfoil,0.3,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3.25,No,20070627,09:16:35am,37.99061387,-121.4584933,
284,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,0,3.75,No,20070627,09:21:21am,37.98670058,-121.4662052,
285,Egeria,0.7,Watermilfoil,0.1,Coontail,0.1,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,2.5,No,20070627,09:25:44am,37.98467169,-121.4706532,
286,Egeria,0.7,Watermilfoil,0.1,Coontail,0.1,,,,,,0.1,,XL (>15m),M (5-10m),range finder,,No,,0,2.75,No,20070627,09:32:01am,37.98373018,-121.4729508,
287,Egeria,0.7,Watermilfoil,0.1,Algae,0.7,Water Primrose,0.1,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,2.25,Yes,20070627,09:36:51am,37.98217915,-121.4742336,
288,Egeria,0.9,Algae,0.7,,,,,,,,,,L (10-15m),M (5-10m),range finder,,No,,0,4.75,No,20070628,09:29:09am,37.97972961,-121.53013,
289,Egeria,0.9,Algae,0.7,Watermilfoil,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,2,3,Yes,20070628,09:32:30am,37.98027747,-121.5335101,
290,Curlyleaf,0.9,,,,,,,,,,0.1,,XL (>15m),M (5-10m),center,,No,,0,4.25,Yes,20070628,10:42:21am,37.97392791,-121.5361931,
291,Egeria,0.9,Algae,0.7,Cabomba,0.1,Water Primrose,0.1,Coontail,0.1,,,,XL (>15m),S (3-5m),range finder,,No,,0,3.25,No,20070627,09:44:28am,37.98143103,-121.4739201,
292,Egeria,0.9,Algae,0.1,Cabomba,0.1,Water Primrose,0.1,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,2,No,20070627,09:54:43am,37.98063096,-121.4746924,
293,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2,Yes,20070627,09:59:19am,37.98114665,-121.4746268,
294,Egeria,0.9,Algae,0.1,,,,,,,,,,L (10-15m),M (5-10m),range finder,,No,,0,1.75,Yes,20070627,10:07:47am,37.97822042,-121.4748588,
295,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,1.5,Yes,20070627,10:17:19am,37.97504136,-121.4746923,
296,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,1.25,Yes,20070627,10:22:47am,37.973375,-121.4739432,
297,Egeria,0.9,Curlyleaf,0.1,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3.5,No,20070627,12:41:33pm,37.97067373,-121.4755794,
298,Egeria,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,4.25,No,20070627,12:52:26pm,37.97204055,-121.5059909,
299,Egeria,0.7,,,,,,,,,,0.3,,XL (>15m),L (10-15m),range finder,,No,,0,1.75,Yes,20070627,12:58:01pm,37.97271579,-121.5094317,
300,Egeria,0.7,Watermilfoil,0.3,Curlyleaf,0.1,,,,,,,,XL (>15m),XL (>15m),center,,No,,0,2.75,Yes,20070627,01:03:09pm,37.97404321,-121.5118875,
301,Egeria,0.9,,,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,4.25,Yes,20070627,01:07:20pm,37.97635962,-121.5136704,
302,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,2.75,Yes,20070627,01:12:10pm,37.97883094,-121.5144678,
303,Egeria,0.7,Coontail,0.1,Algae,0.3,,,,,,,,L (10-15m),S (3-5m),side,,No,,0,1,No,20070613,02:46:27pm,37.97047208,-121.35285,
304,Egeria,0.9,Algae,0.1,,,,,,,,,,XL (>15m),L (10-15m),side,,No,,0,3,No,20070613,02:56:55pm,37.96767789,-121.3572514,
305,Egeria,0.9,Algae,0.3,Curlyleaf,0.1,Tule,0.1,,,,,,XL (>15m),L (10-15m),center,,No,,0,4,Yes,20070628,10:46:39am,37.96901794,-121.5341859,
306,Egeria,0.9,Algae,0.9,Coontail,0.1,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,0,3.25,No,20070628,10:52:22am,37.96295075,-121.5334704,
307,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,4.25,No,20070628,10:55:02am,37.95991509,-121.5325664,
308,Egeria,0.9,,,,,,,,,,,,L (10-15m),M (5-10m),center,,No,,0,3,No,20070628,11:18:11am,37.95854239,-121.5294223,
309,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,1,Yes,20070628,11:22:41am,37.96240594,-121.5310349,
310,Egeria,0.9,Algae,0.3,Curlyleaf,0.1,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,4,No,20070628,11:27:56am,37.96452045,-121.5316658,
311,Egeria,0.9,Coontail,0.1,Watermilfoil,0.1,,,,,,,,L (10-15m),L (10-15m),center,,No,,0,2.25,No,20070627,12:00:37pm,37.96060043,-121.4594231,
312,Egeria,0.9,Tule,0.1,,,,,,,,,,XL (>15m),L (10-15m),range finder,,No,,0,2.5,Yes,20070627,12:06:34pm,37.96050622,-121.4592513,
313,Egeria,0.9,Algae,0.7,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2.25,No,20070627,12:13:23pm,37.96337223,-121.465412,
314,Egeria,0.9,Algae,0.7,Cabomba,0.1,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,2.25,No,20070627,12:17:44pm,37.96436415,-121.4649965,
315,Egeria,0.9,Algae,0.5,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2.25,No,20070627,12:27:07pm,37.96491548,-121.4669594,
316,Egeria,0.9,Algae,0.3,Coontail,0.1,Cabomba,0.1,Curlyleaf,0.1,,,,XL (>15m),L (10-15m),range finder,,No,,0,2.25,No,20070627,12:35:17pm,37.96596788,-121.4747797,
317,Egeria,0.7,,,,,,,,,,0.3,,L (10-15m),M (5-10m),side,,No,,0,2,Yes,20070613,03:05:59pm,37.96721791,-121.3641477,
318,Egeria,0.9,,,,,,,,,,,,XL (>15m),S (3-5m),range finder,,No,,0,5,No,20070628,11:00:19am,37.95503651,-121.5301072,
319,Egeria,0.9,Watermilfoil,0.1,,,,,,,,0.1,,XL (>15m),S (3-5m),center,,No,,0,5,No,20070628,11:06:02am,37.9502405,-121.5344149,
320,Egeria,0.9,Curlyleaf,0.1,Algae,0.1,,,,,,0.1,,XL (>15m),L (10-15m),center,,No,,0,3.5,No,20070628,11:09:32am,37.94931816,-121.5334192,
321,Curlyleaf,0.9,,,,,,,,,,0.1,,XL (>15m),L (10-15m),center,,No,,0,2.5,Yes,20070628,11:11:51am,37.95089899,-121.5317807,
322,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,3.5,No,20070627,11:11:26am,37.94709004,-121.4439212,
323,Egeria,0.9,Curlyleaf,0.1,Watermilfoil,0.1,,,,,,,,XL (>15m),XL (>15m),range finder,,No,,0,1.75,Yes,20070627,11:15:10am,37.94793756,-121.444506,
324,Egeria,0.9,,,,,,,,,,,,XL (>15m),L (10-15m),center,,No,,0,3.75,No,20070627,11:19:06am,37.95053084,-121.4465617,
325,Egeria,0.9,Coontail,0.1,,,,,,,,,,XL (>15m),S (3-5m),center,,No,,0,2.5,No,20070627,11:26:13am,37.95404788,-121.4520907,
326,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,2.25,No,20070627,10:50:29am,37.93556184,-121.4327416,
327,Egeria,0.9,,,,,,,,,,,,XL (>15m),M (5-10m),range finder,,No,,0,4,No,20070627,10:55:58am,37.93782723,-121.4348202,
328,Egeria,0.7,Coontail,0.1,Watermilfoil,0.1,,,,,,,,XL (>15m),M (5-10m),center,,No,,0,3.25,No,20070627,11:03:05am,37.94089602,-121.437698,
329,Watermilfoil,0.1,,,,,,,,,,0.7,,L (10-15m),M (5-10m),center,,No,,0.5,0.5,No,20070625,03:05:03pm,38.31309486,-121.6778676,
